location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Puy-de-Dôme,fr,45.7124142,3.0155825,233,42,174,2020-06-24 03:32:19.004342+00:00
Valente,br,-11.4080892,-39.4589976,96,2,None,2020-06-13 00:20:38.864069+00:00
Rubiataba,br,-15.1663568,-49.8054789,21,1,None,2020-06-13 00:20:26.701569+00:00
Arroio dos Ratos,br,-30.0880438,-51.7279954,9,1,None,2020-06-13 00:19:43.375744+00:00
Abdon Batista,br,-27.6107222,-51.0247257,9,0,None,2020-06-13 00:19:40.120912+00:00
Bujaru,br,-1.5182508,-48.0370694,174,18,None,2020-06-13 00:19:47.168314+00:00
"Edmonson County, Kentucky",us,37.1941682,-86.21584969999999,78,11,None,2020-06-22 03:30:28.753679+00:00
"Middlesex County, Massachusetts",us,42.467206,-71.2874209,23609,1809,None,2020-06-24 03:30:27.070589+00:00
Vila Pavão,br,-18.6192783,-40.604835,9,0,None,2020-06-13 00:20:39.571521+00:00
"Luce County, Michigan",us,46.5827512,-85.513329,4,0,None,2020-06-22 03:30:28.753679+00:00
"Chowan County, North Carolina",us,36.1354131,-76.6181655,19,0,None,2020-06-24 03:30:27.070589+00:00
Bisha,sa,19.9763524,42.5901672,20,0,13,2020-06-24 03:33:08.359168+00:00
Noardeast-Fryslân,nl,53.3500097,5.960837499999999,6,None,None,2020-06-15 13:33:33.437435+00:00
Pindaí,br,-14.4924412,-42.68619169999999,11,0,None,2020-06-13 00:20:20.707006+00:00
Khobar,sa,26.2171906,50.1971381,57,1,17,2020-06-24 03:33:08.391992+00:00
"Lawrence County, Ohio",us,38.6232686,-82.5185837,45,0,None,2020-06-24 03:30:27.070589+00:00
"Tillamook County, Oregon",us,45.5293478,-123.7052374,6,0,None,2020-06-24 03:30:27.070589+00:00
Altamira do Paraná,br,-24.7994827,-52.7137231,1,0,None,2020-06-13 00:19:40.966939+00:00
Weststellingwerf,nl,52.8718917,6.022918799999999,3,None,None,2020-06-15 13:33:35.132130+00:00
Mihd  adh Dhahab,sa,23.50074,40.86425,65,0,36,2020-06-24 03:33:09.401950+00:00
Steenwijkerland,nl,52.7415382,6.0493239,14,None,None,2020-06-15 13:33:34.364243+00:00
"Walton County, Florida",us,30.56401989999999,-86.17517590000001,186,9,None,2020-06-24 03:30:27.070589+00:00
Passos Maia,br,-26.7803509,-52.0605801,4,0,None,2020-06-13 00:20:19.225444+00:00
"Emanuel County, Georgia",us,32.5726629,-82.3017728,72,2,None,2020-06-24 03:30:27.070589+00:00
Rio Claro,br,-22.4149023,-47.5651394,160,18,None,2020-06-13 00:20:25.970251+00:00
"Dickinson County, Iowa",us,43.4049388,-95.18492189999999,207,2,None,2020-06-22 03:30:28.753679+00:00
"Boone County, Indiana",us,40.0106163,-86.49965460000001,411,43,None,2020-06-22 03:30:28.753679+00:00
Posse,br,-14.0835548,-46.3661885,3,0,None,2020-06-13 00:20:23.133951+00:00
Santo Antônio do Aracanguá,br,-20.9364638,-50.494271,22,0,None,2020-06-13 00:20:29.111381+00:00
Cabreúva,br,-23.3058194,-47.1367011,108,4,None,2020-06-13 00:19:47.743510+00:00
São Sebastião,br,-23.8063468,-45.4016534,364,3,None,2020-06-13 00:20:35.241309+00:00
"Norfolk County, Massachusetts",us,42.17668,-71.1448516,9010,914,None,2020-06-24 03:30:27.070589+00:00
"Ashland County, Wisconsin",us,46.9794969,-90.48248919999999,3,0,None,2020-06-24 03:30:27.070589+00:00
